id,研究方向,判定A_G,集約判定,最も近い既存研究,実質的な差,コード根拠,結果根拠,データ可用性,リーク懸念,未使用期間,経済評価,新規性,実装費用,最小反証実験,推奨
4.1,階層ベイズ・部分プーリング,C/E,部分実施,EXP01縮約統計/EXP02動的レーティング,K固定・単層・信用区間なし・独立検証なしの4点差,analysis/mcond/exp01_choice_dev/build_features.py:45-46;134-135;173,EXP01複合評価はΔlogloss改善CI<0だがGate3(経済)FAIL,高(master_v2に13年分),低(as-of構築実証済み),EXP01は2024-25まで評価済み,EXP01複合ではROI改善なし,中,中,種牡馬×競馬場ネストでの部分プーリング効果とEXP01縮約点推定の予測差をvalid年で比較,次に検証
4.2,Conformal・選択的予測・保証付き見送り,E,未着手,EXP06 in_distribution_support(kNN/ECDF)+chaos gate(percentile閾値),被覆保証の有無(既存はゼロ),analysis/mcond/exp06_jev_decision_dev/ood_support.py:29;production_policy.py:81-142,実装なし,良好(既存p_win/kekka流用可),低,未定義,未実施,高,中,2023をcalibration set固定・nominal coverageの経験的乖離を2024-25で検定,次に検証
4.3,因果推論・個体別介入効果,E,未着手,EXP01生の選択列(相関のみ),交絡調整なし=相関と因果の混同,検索ヒット0件(causal_forest等),EXP01のM2は正の予測力だが処置効果は未推定,中〜高(介入変数は存在),中(逆因果懸念未検証),全期間未実施,未評価,高,中〜高,距離延長vs非延長で傾向スコアマッチング後の勝率差をEXP01のM2係数と比較,次に検証
4.4,グラフ・ネットワーク・ハイパーグラフ,C/E混合,部分実施,血統SVD埋め込み/ELO・Glicko/3体結合,動的・多層・非線形の3点で既存実装と非重複,lab/features_dead/build_pedigree_emb.py;lab/physics_gates/gate2_3body.py,reports/race_ped_exp.json ΔAUC-0.0013〜-0.0022,高(master_v2で構築可能),低(過去データのみ),未評価,未評価,高,中〜高,静的単層グラフ(騎手×調教師共起頻度)でGate1(v6+市場条件付き)に通すか確認,監査追加
4.5,当日馬場状態のオンライン推定,A,検証済み(NG),day_state_counting自身(within-card/crossday/Stage0-2),—,analysis/daybias_within_card_test.py;analysis/day_state_counting.py(未コミット),複勝ROI78.4%<控除床;real vs placebo敗北,十分,低(forループ設計で自己言及),test期間で評価済み,負け(控除割れ),なし,—,実施済み,既存結果で終了
4.6,レジームモデル・Mixture of Experts,C/A混合,部分実施,train_expert.py(1/4採用)/季節専用/EXP04,決定的ルーティングvs学習済みソフトゲート,lab/train/train_expert.py;app.py:1332-1431,reports/expert_metrics.json AUCのみ、ROI未実施,良好,低,あり(train/valid/test既存),未実施(AUCのみ),低(季節版は死亡済み),低,v6本番系でturf_mid expertブレンドのOOS ROIを実測,監査追加
4.7,オッズ時系列・市場過程,A/E混合,部分実施,軌跡形状特徴/SettleAI/CLV/Dr.Z,点測定vs時間発展の生成的過程モデル,build_odds_traj_feats.py;analysis/measure_settle_drift.py,reports/traj_marks_exp.json ΔAUC-0.00159;reports/settle_drift.json,部分(k≥2は52%),低(検査済み),済み,実施済み(死亡4系統),高(過程自体),高,前向きT-10/close2点データで最小のAR(1)過程を試す,データ収集後
4.8,確定オッズの分布予測,E/D,未着手,SettleAI帯別平均倍率,集約レベルが違う(帯平均vs個体分布),analysis/measure_settle_drift.py,Phase2未着手(n=742<1000),部分的(蓄積中),低,未定義(n≥1000未到達で未開封),未実施,中〜高,中,n≥1000到達後にper-horse quantile GBDTを静的テーブルとOOS比較,データ収集後
4.9,馬券ポートフォリオ・ロバスト最適化,C,部分実施,トリガミ床/3枠方針/EVサイジング(経験則),明示的CVaR/最悪ケース目的関数の有無,analysis/robust_ticket_portfolio.py(未コミット);tests/test_robust_ticket_portfolio.py,ユニットテストのみ、実データ0件,あり(既存PL/T-10基盤で構築可),低(未接続で混入経路なし),全期間未使用(経済検証ゼロ),未評価,高,小〜中,三連複/ワイドの実過去データでV0(現行topdown)対比のpaired backtest,次に検証(第1候補)
4.10,外挿を意識したモデル,E/C,未着手,Isotonic較正/EVT特徴(いずれも別目的),単調性/極値の語彙のみ共有、外挿域の不確実性評価は皆無,build_pl_calibrators*.py;lab/features_dead/build_evt_feats.py,較正は検証済み(ECE改善);EVT特徴は不採用確定,高,低,未実施,未評価,高,中,初ダート/初距離馬でLightGBM(制約なし)vs monotonic-constraint/GAMのAUC差を測定,次に検証
